french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;mystiric;cleansing;condition;vitesse_tracage
Emeu, huile;Dromiceius;Emu Oil ;DROMICEIUS OIL;194;32;121;0;23;9;0;47;8;0;0.135;0.194;0;32;73;0;0;55;3.2931584
Framboise, huile ;Rubus Idaeus;Raspberry Seed Oil;RUBUS IDAEUS SEED OIL;187;3;24;0;3;0;0;13;55;26;0.133;0.187;0;3;163;0;0;94;2.0761216
Fruit de la passion (graines), huile;Passiflora Incarnata;Passion Fruit Seed Oil;PASSIFLORA EDULIS SEED OIL;183;13;47;0;10;3;0;15;70;1;0.13;0.183;0;13;136;0;0;86;2.6235776
Germe de blé, huile;Triticum Vulgare;Wheat Germ oil;TRITICUM VULGARE GERM OIL;193;19;60;0;17;2;0;17;58;0;0.13;0.193;0;19;133;0;0;75;2.73728
Grenade, huile;Punica Granatum;Pomegranate Seed Oil;PUNICA GRANATUM SEED OIL;190;6;168;0;3;3;0;7;7;78;0.135;0.19;0;6;22;0;0;92;1.6465792
Illipé, beurre ;Shorea Stenoptera;Illipe Butter;SHOREA STENOPTERA SEED BUTTER;192;62;159;0;17;45;0;35;0;0;0.132;0.192;0;62;33;0;0;35;3.9332608
Inca Inchi, huile;Plukenetia Volubilis;Sacha Inchi, Plukenetia Volubilis;PLUKENETIA VOLUBILIS SEED OIL;188;7;47;0;4;3;0;10;35;48;0.134;0.188;0;7;141;0;0;93;2.0087424
Jatropha, huile;Jatropha Mahafalensis;Jatropha Oil;JATROPHA MAHAFALENSIS SEED OIL;193;16;91;0;9;7;0;44;34;0;0.138;0.193;0;16;102;0;0;78;2.94784
Jojoba, huile;Buxus Chinensis;Jojoba Oil ;SIMMONDSIA CHINENSIS SEED OIL;98;0;46;0;0;0;0;12;0;0;0.066;0.098;0;0;83;0;0;12;0.4042752
Karanja, huile;Pongamia pinnata;Karanja Oil ;PONGAMIA GLABRA SEED OIL;190;12;111;0;6;6;0;58;15;0;0.13;0.19;0;12;79;0;0;73;2.8257152
Karité, beurre;Butyrospermum Parkii;Shea Butter;BUTYROSPERMUM PARKII BUTTER;190;45;138;0;5;40;0;48;6;0;0.128;0.19;0;45;52;0;0;54;3.6805888
Kokum, beurre;Garcinia Indica;Kokum Butter;GARCINIA INDICA SEED BUTTER;190;60;153;0;4;56;0;36;1;0;0.135;0.19;0;60;37;0;0;37;3.7942912
Kpangnan, beurre;Pentadesma Butyracea;Kpangnan Butter;PENTADESMA BUTYRACEA SEED BUTTER;191;50;149;0;6;44;0;49;1;0;0.136;0.191;0;50;42;0;0;50;3.8279808
Kukui, huile;Aleurites Moluccana;Kukui Nut Oil ;ALEURITES MOLUCCANUS SEED EXTRACT;192;8;27;0;6;2;0;20;42;29;0.135;0.192;0;8;165;0;0;91;2.3119488
Lanoline;Lanolin;Lanolin liquid Wax;LANOLIN WAX;106;0;83;0;0;0;0;0;0;0;0.076;0.106;0;0;23;0;0;0;0
Lapin, graisse;Rabbit Fat;Rabbit Fat;RABBIT FAT;201;39;116;0;30;6;0;30;20;5;0.143;0.201;3;36;85;3;3;55;3.4405504
Laurier (fruit), huile ;Laurus Nobilis;Laurel Fruit Oil ;LAURUS NOBILIS FRUIT OIL;213;42;138;25;15;1;0;31;26;1;0.141;0.213;26;16;75;1;26;58;4.042752
Lin, huile ;Linum Usitatissimum;Flax Oil, Linseed Oil;LINUM USITATISSIMUM SEED OIL;192;9;15;0;6;3;0;27;13;50;0.135;0.192;0;9;177;0;0;90;2.2445696
Loofah (graines), huile;Luffa Cylindrica;Loofa Seed Oil ;LUFFA CYLINDRICA SEED OIL;187;27;79;0;9;18;0;30;47;0;0.133;0.187;0;27;108;0;0;77;3.2131456
Macadamia, beurre;Macadamia Ternifolia;Macadamia Nut Butter;;188;19;118;0;6;12;0;56;3;1;0.134;0.188;1;18;70;1;1;60;2.8299264
Macadamia, huile;Macadamia Ternifolia;Macadamia Nut Oil;MACADAMIA TERNIFOLIA SEED OIL;195;14;118;0;9;5;0;59;2;0;0.139;0.195;0;14;77;0;0;61;2.695168
Mafura, beurre;Trichilia Emetica;Mafura Butter;TRICHILIA EMETICA SEED BUTTER;198;41;132;0;37;3;0;49;11;1;0.141;0.198;1;40;66;1;1;61;3.9501056
Maïs, huile ;Zea Mays;Corn Oil;ZEA MAYS OIL;201;14;98;0;12;2;0;32;51;1;0.137;0.201;0;14;103;0;0;84;2.8551936
Mangue, beurre;Mangifera Indica;Mango Seed Butter;MANGIFERA INDICA SEED BUTTER;190;49;142;0;7;42;0;45;3;0;0.136;0.19;0;49;48;0;0;48;3.7016448
Mangue, huile;Mangifera Indica;Mango Seed Oil;MANGIFERA INDICA SEED OIL;190;35;132;0;8;27;0;52;8;1;0.135;0.19;0;35;58;0;0;61;3.47424
Margousier (graines), huile;Melia Azadirachta;Neem Seed Oil;MELIA AZADIRACHTA SEED OIL;193;39;121;0;21;16;0;46;12;0;0.138;0.193;2;37;72;2;2;58;3.6553216
Marula, huile;Sclerocarya birrea;Marula oil;SCLEROCARYA BIRREA SEED OIL;192;18;124;0;11;7;0;75;4;0;0.137;0.192;0;18;68;0;0;79;3.4616064
Monoi de Tahiti (base de coprah), huile;Cocos Nucifera & Gardenia Tahitensis;Monoi de Tahiti Oil;COCOS NUCIFERA OIL & GARDENIA TAITENSIS FLOWER EXTRACT;255;73;246;44;10;3;0;0;2;0;0.182;0.255;60;13;9;16;60;2;4.3964928
Moringa, huile;Moringa Oleifera;Moringa Oil;MORINGA OLEIFERA SEED OIL;187;14;118;0;7;7;0;71;2;0;0.137;0.187;0;14;69;0;0;73;3.0825984
Moutarde, huile;Brassica Alba;Mustard Oil, Kachi ghani;BRASSICA ALBA SEED OIL;175;4;65;0;2;2;0;18;14;9;0.123;0.175;0;4;110;0;0;41;1.200192
Mouton, suif;Adeps Ovillus;Tallow Sheep;TALLOW;196;51;155;4;24;13;0;26;5;0;0.138;0.194;14;37;41;10;14;31;3.5837312
Mowrah, beurre;Madhuca Latifolia;Mowrah Butter;MADHUCA LONGIFOLIA SEED OIL;193;46;137;0;24;22;0;36;15;0;0.138;0.193;0;46;56;0;0;51;3.6679552
Murmuru, beurre;Astrocaryum Murmuru;Murmuru Butter;ASTROCARYUM MURUMURU SEED BUTTER;238;82;229;47;6;3;0;15;3;0;0.196;0.238;73;9;9;26;73;18;5.4998272
Noisette, huile ;Corylus Americana;Hazelnut Oil ;CORYLUS AVELLANA SEED OIL;191;8;102;0;5;3;0;75;10;0;0.139;0.191;0;8;89;0;0;85;3.116288
Noix de Muscade, beurre;Myristica Fragrans;Nutmeg Butter;MYRISTICA FRAGRANS KERNEL OIL;162;90;116;3;4;0;0;5;0;0;0.116;0.162;86;4;46;83;86;5;5.453504
