french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;myristic;cleansing;condition;vitesse_tracage
Huile de Pépins de raisin;Vitis Vinifera;Grapeseed Oil;VITIS VINIFERA SEED OIL;189;12;66;0;8;4;0;20;68;0;0.129;0.181;0;12;131;0;0;88;
Huile de Noisette ;Corylus Americana;Hazelnut Oil ;CORYLUS AVELLANA SEED OIL;190;8;94;0;5;3;0;75;10;0;0.139;0.195;0;8;97;0;0;85;
Huile de Chanvre ;Cannabis Sativa ;Hempseed oil;CANNABIS SATIVA SEED OIL;178;8;39;0;6;2;0;12;57;21;0.138;0.193;0;8;165;0;0;90;
Huile de Cheval ;Adeps Equinus ;Horse Oil;;198;34;117;0;26;5;0;10;20;19;0.14;0.196;3;31;79;3;3;49;
Beurre d'illipé ;Shorea Stenoptera;Illipe Butter;SHOREA STENOPTERA SEED BUTTER;191;62;152;0;17;45;0;35;0;0;0.132;0.185;0;62;33;0;0;35;
Cire du Japon;Japan wax;Japan Wax;SYNTHETIC JAPAN WAX;217;88;204;0;80;7;0;4;0;0;0.153;0.215;1;87;11;1;1;4;
Huile de Jatropha;Jatropha Mahafalensis;Jatropha Oil;JATROPHA MAHAFALENSIS SEED OIL;;16;91;0;9;7;0;44;34;0;0.138;0.193;0;16;102;0;0;78;
Huile de Jojoba;Buxus Chinensis;Jojoba Oil ;SIMMONDSIA CHINENSIS SEED OIL;97;0;11;0;0;0;0;12;0;0;0.066;0.092;0;0;83;0;0;12;
Huile de Karanja;Pongamia pinnata;Karanja Oil ;PONGAMIA GLABRA SEED OIL;184;12;98;0;6;6;0;58;15;0;0.13;0.183;0;12;85;0;0;73;
Beurre de kokum;Garcinia Indica;Kokum Butter;GARCINIA INDICA SEED BUTTER;190;60;155;0;4;56;0;36;1;0;0.135;0.19;0;60;35;0;0;37;
Beurre de Kpangnan;Pentadesma Butyracea;Kpangnan Butter;PENTADESMA BUTYRACEA SEED BUTTER;191;50;149;0;6;44;0;49;1;0;0.136;0.191;0;50;42;0;0;50;
Huile de Noix de kukui;Aleurites Moluccana;Kukui Nut Oil ;ALEURITES MOLUCCANUS SEED EXTRACT;189;8;24;0;6;2;0;20;42;29;0.135;0.189;0;8;168;0;0;91;
Cire liquide de Lanoline;Lanolin;Lanolin liquid Wax;LANOLIN WAX;105;0;83;0;0;0;0;0;0;0;0.076;0.106;0;0;27;0;0;0;
Suif de Porc;Adeps Suillus;Lard Pig Tallow;ADEPS SUILLUS;194;42;139;0;28;13;0;46;6;0;0.141;0.198;1;41;57;1;1;52;
Huile de Fruit de Laurier ;Laurus Nobilis;Laurel Fruit Oil ;LAURUS NOBILIS FRUIT OIL;198;42;124;25;15;1;0;31;26;1;0.141;0.198;26;16;74;1;26;58;
Acide lauric;Lauric Acid;Lauric Acid;LAURIC ACID;;100;280;99;0;0;0;0;0;0;0.2;0.28;100;0;0;1;100;0;
Huile de Graines de loofah;Luffa Cylindrica;Loofa Seed Oil ;LUFFA CYLINDRICA SEED OIL;;27;79;0;9;18;0;30;47;0;0.133;0.187;0;27;108;0;0;77;
Beurre de Noix Macadamia ;Macadamia Ternifolia;Macadamia Nut Butter;MACADAMIA TERNIFOLIA ;;19;118;0;6;12;0;56;3;1;0.134;0.188;1;18;70;1;1;60;
Huile de Macadamia;Macadamia Ternifolia;Macadamia Nut Oil;MACADAMIA TERNIFOLIA SEED OIL;195;14;119;0;9;5;0;59;2;0;0.139;0.195;0;14;76;0;0;61;
Beurre de Mafura ;Trichilia Emetica;Mafura Butter;TRICHILIA EMETICA SEED BUTTER;;41;132;0;37;3;0;49;11;1;0.141;0.198;1;40;66;1;1;61;
Huile de Germe de maïs;Zea Mays;Maize Oil;ZEA MAYS GERM OIL;191;;;;;;;;;;;;;;;;;;
Beurre de Mangue ;Mangifera Indica;Mango Seed Butter;MANGIFERA INDICA SEED BUTTER;192;49;146;0;7;42;0;45;3;0;0.136;0.191;0;49;45;0;0;48;
Huile de Mangue;Mangifera Indica;Mango Seed Oil;MANGIFERA INDICA SEED OIL;188;35;130;0;8;27;0;52;8;1;0.135;0.19;0;35;60;0;0;61;
